id,Unnamed: 6,founded_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
c:6669,San Francisco CA 94105,1/1/2007,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,CA,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,c:6669,0,1,0,0,0,0,1.0,0,1
c:16283,San Francisco CA 94105,1/1/2000,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:16283,1,0,0,1,1,1,4.75,1,1
c:65620,San Diego CA 92121,3/18/2009,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:65620,0,0,1,0,0,0,4.0,1,1
c:42668,Cupertino CA 95014,1/1/2002,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:42668,0,0,0,1,1,1,3.3333,1,1
c:65806,San Francisco CA 94105,8/1/2010,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:65806,1,1,0,0,0,0,1.0,1,0
c:22898,Mountain View CA 94043,1/1/2002,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,CA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:22898,0,0,0,1,0,0,3.0,1,0
c:16191,San Francisco CA 94105,1/1/2005,1.7205,5.211,3.0,6.6082,6,3,26000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16191,1,0,1,1,0,0,1.6667,1,1
c:5192,San Francisco CA 94105,1/1/2004,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,CA,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,c:5192,0,0,1,1,0,1,3.5,1,1
c:1043,Williamstown MA 1267,1/1/2002,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:1043,1,0,1,0,0,1,4.0,1,1
c:498,San Francisco CA 94105,6/1/2005,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:498,1,1,1,0,0,0,1.0,1,1
c:3949,San Francisco CA 94105,11/15/2000,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:3949,0,0,1,1,0,0,1.0,1,1
c:4829,San Francisco CA 94105,1/1/2006,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:4829,1,1,1,0,0,0,1.75,1,0
c:30290,San Francisco CA 94105,1/1/2004,4.9041,4.9041,2.5205,4.4767,0,1,350000,0,KY,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:30290,1,0,0,0,0,0,1.0,0,0
c:1491,San Francisco CA 94105,11/26/2007,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,NY,0,1,0,0,0,education,0,0,0,0,0,0,0,0,0,1,c:1491,0,0,1,1,1,0,2.3333,1,1
c:15645,San Francisco CA 94105,1/1/2001,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,CO,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:15645,0,0,1,1,0,0,2.5,1,1
c:54177,Vienna VA 22182,1/1/1999,6.6082,6.6082,2.5205,4.4767,0,1,200000,0,VA,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:54177,1,0,0,0,0,0,1.0,0,0
c:16770,San Francisco CA 94105,1/1/2003,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,CA,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,c:16770,1,0,1,1,1,1,3.5,1,0
c:107,San Francisco CA 94105,7/1/2000,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:107,0,0,1,1,1,1,3.5,1,1
c:50727,New York NY 10004,1/1/2010,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:50727,0,1,1,0,0,0,5.0,1,1
c:26368,San Francisco CA 94105,1/1/2007,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:26368,0,0,1,1,0,0,1.0,1,0
c:22291,San Francisco CA 94105,1/1/2001,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,TX,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,c:22291,0,1,1,0,0,0,1.5,0,1
c:17857,San Francisco CA 94105,1/1/2004,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,WA,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,c:17857,0,0,0,1,0,0,2.0,1,0
c:15888,San Francisco CA 94105,1/1/2002,5.4904,5.4904,0.0,0.0,1,1,3170000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:15888,0,0,1,0,0,0,2.0,0,0
c:10751,San Francisco CA 94105,1/1/2008,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10751,0,1,1,0,0,0,2.0,0,0
c:458,San Francisco CA 94105,5/1/2007,0.2521,0.337,2.5205,4.4767,5,2,455000,0,CO,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:458,0,1,1,0,0,0,4.5,1,0
c:45525,Chicago IL 60601,1/1/2002,4.8411,4.8411,1.0,1.0,3,1,13000000,1,IL,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:45525,0,0,0,0,1,0,4.0,1,1
c:3193,San Francisco CA 94105,1/1/2003,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,CA,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:3193,0,0,0,0,1,0,4.0,1,1
c:28456,Berkeley CA 94704,6/1/2008,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,CA,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,c:28456,0,0,0,1,0,0,2.0,1,1
c:36920,San Francisco CA 94105,5/1/2007,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,TX,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,c:36920,1,0,1,0,1,0,1.75,1,1
c:35712,Santa Ana CA 92705,5/24/2005,1.189,1.189,2.189,7.7753,5,1,1000000,3,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:35712,1,0,0,0,0,0,2.0,1,1
c:21492,Moffett Field CA 94035,1/1/2007,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,CA,1,0,0,0,0,other,0,0,0,0,0,0,0,0,0,1,c:21492,0,0,1,1,0,0,2.0,1,0
c:28768,Seattle WA 98119,1/1/2001,4.1534,5.1671,3.0,3.0,6,2,8600000,1,WA,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,c:28768,1,0,0,1,0,0,1.5,1,1
c:27741,San Francisco CA 94105,10/1/2006,-0.1671,2.0192,2.5205,4.4767,9,2,5000000,0,NC,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:27741,0,0,1,1,0,0,2.5,1,0
c:150658,San Francisco CA 94105,1/1/2011,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:150658,1,0,0,0,0,0,5.0,1,1
